dimension,classification_feature,external_feature,correlation
team_orientation,team_orientation=larger_team,post_chat_message,0.185547917548582
team_orientation,team_orientation=larger_team,search_users_and_teams,0.1300949601209582
team_orientation,team_orientation=larger_team,post_slack_message,0.1083454088106962
team_orientation,team_orientation=small_team,post_chat_message,0.0953629553521288
team_orientation,team_orientation=larger_team,trigger=scheduled,0.088495386059232
team_orientation,team_orientation=individual,post_reply,0.0883357406223039
team_orientation,team_orientation=larger_team,retrieve_tasks_by_filters,0.0784056466761357
team_orientation,team_orientation=larger_team,todo_write,0.0780673201748899
team_orientation,team_orientation=small_team,search_users_and_teams,0.0766830824264101
team_orientation,team_orientation=small_team,todo_write,0.071028379831074
team_orientation,team_orientation=individual,post_chat_message,-0.1757466350343307
team_orientation,team_orientation=individual,search_users_and_teams,-0.1329519680160476
team_orientation,team_orientation=individual,todo_write,-0.0933543425205732
team_orientation,team_orientation=individual,trigger=scheduled,-0.093038627277715
team_orientation,team_orientation=individual,retrieve_tasks_by_filters,-0.0840481267933344
team_orientation,team_orientation=individual,post_slack_message,-0.0820164280405989
team_orientation,team_orientation=individual,read_memory,-0.0708703859468473
team_orientation,team_orientation=larger_team,post_reply,-0.0699661780521855
team_orientation,team_orientation=individual,post_task_comment,-0.0666471001899871
team_orientation,team_orientation=small_team,post_reply,-0.0646922389931214
domain_knowledge_depth,domain_knowledge_depth=moderate,post_reply,0.2165822827004
domain_knowledge_depth,domain_knowledge_depth=light,todo_write,0.2081634444868066
domain_knowledge_depth,domain_knowledge_depth=none,retrieve_personal_priorities,0.1974216371987492
domain_knowledge_depth,domain_knowledge_depth=light,retrieve_tasks_by_filters,0.1881225097491076
domain_knowledge_depth,domain_knowledge_depth=light,retrieve_activity,0.1612177590318854
domain_knowledge_depth,domain_knowledge_depth=light,trigger=scheduled,0.1479550322853918
domain_knowledge_depth,domain_knowledge_depth=moderate,trigger=introduction,0.1354083429162424
domain_knowledge_depth,domain_knowledge_depth=none,trigger=scheduled,0.1331616516108745
domain_knowledge_depth,domain_knowledge_depth=none,retrieve_tasks_by_filters,0.1289985225092581
domain_knowledge_depth,domain_knowledge_depth=none,post_chat_message,0.1210567381915537
domain_knowledge_depth,domain_knowledge_depth=moderate,todo_write,-0.2540871315754264
domain_knowledge_depth,domain_knowledge_depth=moderate,retrieve_tasks_by_filters,-0.2443746368013657
domain_knowledge_depth,domain_knowledge_depth=moderate,trigger=scheduled,-0.1997663581212748
domain_knowledge_depth,domain_knowledge_depth=light,post_reply,-0.1729734050625293
domain_knowledge_depth,domain_knowledge_depth=moderate,retrieve_activity,-0.1664611154446686
domain_knowledge_depth,domain_knowledge_depth=moderate,post_chat_message,-0.149438029499401
domain_knowledge_depth,domain_knowledge_depth=moderate,retrieve_personal_priorities,-0.1324614059319756
domain_knowledge_depth,domain_knowledge_depth=moderate,trigger=automation,-0.1196297300054884
domain_knowledge_depth,domain_knowledge_depth=light,trigger=introduction,-0.106491991841974
domain_knowledge_depth,domain_knowledge_depth=moderate,find_stale_tasks,-0.0990279695271416
operational_scope,operational_scope=multi_workflow_orchestration,trigger=scheduled,0.1877969003428782
operational_scope,operational_scope=multi_workflow_orchestration,todo_write,0.1591261360177597
operational_scope,operational_scope=multi_workflow_orchestration,retrieve_tasks_by_filters,0.1543701795629641
operational_scope,operational_scope=multi_workflow_orchestration,read_memory,0.149400985831909
operational_scope,operational_scope=sequential_workflow,post_reply,0.1312352033107429
operational_scope,operational_scope=multi_workflow_orchestration,post_chat_message,0.1058188346142272
operational_scope,operational_scope=multi_workflow_orchestration,search_workspace,0.0901593013436644
operational_scope,operational_scope=sequential_workflow,trigger=dm,0.0734892012604378
operational_scope,operational_scope=multi_workflow_orchestration,search_google_calendar,0.0687301130352489
operational_scope,operational_scope=sequential_workflow,create_document,0.0627966399637273
operational_scope,operational_scope=sequential_workflow,trigger=scheduled,-0.155344823593257
operational_scope,operational_scope=multi_workflow_orchestration,post_reply,-0.1413973568451302
operational_scope,operational_scope=sequential_workflow,retrieve_tasks_by_filters,-0.1045368518929676
operational_scope,operational_scope=sequential_workflow,todo_write,-0.1019317660139092
operational_scope,operational_scope=multi_workflow_orchestration,trigger=introduction,-0.0943147925233283
operational_scope,operational_scope=sequential_workflow,post_chat_message,-0.0845075383054591
operational_scope,operational_scope=sequential_workflow,retrieve_activity,-0.0641552673219228
operational_scope,operational_scope=sequential_workflow,read_memory,-0.0626812623630229
operational_scope,operational_scope=sequential_workflow,trigger=automation,-0.0588058895748906
operational_scope,operational_scope=sequential_workflow,post_task_comment,-0.0520062148105025
data_flow_direction,data_flow_direction=processing,todo_write,0.2876786401910982
data_flow_direction,data_flow_direction=processing,retrieve_tasks_by_filters,0.2770009471266181
data_flow_direction,data_flow_direction=outbound,post_reply,0.2730267683423951
data_flow_direction,data_flow_direction=bidirectional,search_google_calendar,0.2259578639507886
data_flow_direction,data_flow_direction=bidirectional,view_tools_catalog,0.2053142292876192
data_flow_direction,data_flow_direction=processing,load_assets,0.1891357376257771
data_flow_direction,data_flow_direction=processing,trigger=automation,0.1843820978807585
data_flow_direction,data_flow_direction=outbound,generate_image,0.1769295093325632
data_flow_direction,data_flow_direction=processing,load_custom_fields,0.1658887175422262
data_flow_direction,data_flow_direction=outbound,trigger=introduction,0.164010661201945
data_flow_direction,data_flow_direction=outbound,todo_write,-0.3526146353719174
data_flow_direction,data_flow_direction=outbound,retrieve_tasks_by_filters,-0.3038347207058144
data_flow_direction,data_flow_direction=processing,post_reply,-0.2375217582312041
data_flow_direction,data_flow_direction=outbound,trigger=scheduled,-0.2236877392607231
data_flow_direction,data_flow_direction=outbound,load_assets,-0.1987110442985817
data_flow_direction,data_flow_direction=outbound,trigger=automation,-0.1759842567308491
data_flow_direction,data_flow_direction=outbound,load_custom_fields,-0.1736749256817189
data_flow_direction,data_flow_direction=outbound,search_workspace,-0.1545321001001453
data_flow_direction,data_flow_direction=processing,generate_image,-0.1536916416609464
data_flow_direction,data_flow_direction=outbound,retrieve_activity,-0.1469334108389901
autonomy_level,autonomy_level=consultative,post_reply,0.2429350877223795
autonomy_level,autonomy_level=autonomous,todo_write,0.2131534791998693
autonomy_level,autonomy_level=autonomous,trigger=scheduled,0.1705747986236769
autonomy_level,autonomy_level=autonomous,retrieve_tasks_by_filters,0.1680111310821677
autonomy_level,autonomy_level=autonomous,retrieve_activity,0.1387824555080718
autonomy_level,autonomy_level=consultative,trigger=dm,0.1276783426505671
autonomy_level,autonomy_level=autonomous,post_chat_message,0.1244154345396673
autonomy_level,autonomy_level=consultative,trigger=introduction,0.1138081003903984
autonomy_level,autonomy_level=human_in_the_loop,load_assets,0.1038091950607119
autonomy_level,autonomy_level=human_in_the_loop,trigger=automation,0.0948106085797842
autonomy_level,autonomy_level=consultative,todo_write,-0.2774319025892618
autonomy_level,autonomy_level=consultative,retrieve_tasks_by_filters,-0.1993586246736368
autonomy_level,autonomy_level=consultative,trigger=scheduled,-0.1887458777479242
autonomy_level,autonomy_level=autonomous,post_reply,-0.1788733141509039
autonomy_level,autonomy_level=consultative,trigger=automation,-0.1517615483291605
autonomy_level,autonomy_level=consultative,load_assets,-0.1351862512987331
autonomy_level,autonomy_level=consultative,load_custom_fields,-0.1298646848268554
autonomy_level,autonomy_level=consultative,retrieve_activity,-0.121045870050408
autonomy_level,autonomy_level=consultative,post_chat_message,-0.1170432931417545
autonomy_level,autonomy_level=consultative,post_task_comment,-0.1144057813146449
functional_archetype,functional_archetype=monitor,trigger=scheduled,0.3748425285406083
functional_archetype,functional_archetype=monitor,retrieve_tasks_by_filters,0.3559744584188439
functional_archetype,functional_archetype=creator,post_reply,0.3346378585845552
functional_archetype,functional_archetype=monitor,todo_write,0.3336733241894248
functional_archetype,functional_archetype=monitor,post_chat_message,0.3272856496728227
functional_archetype,functional_archetype=monitor,retrieve_activity,0.3123730979041296
functional_archetype,functional_archetype=creator,trigger=introduction,0.2218142761326242
functional_archetype,functional_archetype=creator,generate_image,0.2059803227017513
functional_archetype,functional_archetype=organizer,update_task,0.2038730552309732
functional_archetype,functional_archetype=monitor,find_stale_tasks,0.1927523678569709
functional_archetype,functional_archetype=creator,todo_write,-0.4033088441138374
functional_archetype,functional_archetype=creator,retrieve_tasks_by_filters,-0.3556399260737553
functional_archetype,functional_archetype=creator,trigger=scheduled,-0.2997634971342426
functional_archetype,functional_archetype=monitor,post_reply,-0.2668250857244606
functional_archetype,functional_archetype=creator,retrieve_activity,-0.1982593534890104
functional_archetype,functional_archetype=creator,post_chat_message,-0.1907602247874092
functional_archetype,functional_archetype=creator,trigger=automation,-0.180431557566301
functional_archetype,functional_archetype=creator,load_custom_fields,-0.1752629288884778
functional_archetype,functional_archetype=creator,load_assets,-0.1726013661581103
functional_archetype,functional_archetype=creator,search_workspace,-0.165161976621056
tone_and_persona,tone_and_persona=professional_formal,todo_write,0.1417060462545458
tone_and_persona,tone_and_persona=professional_formal,load_assets,0.1169394422276619
tone_and_persona,tone_and_persona=casual_friendly,post_reply,0.0962970532740275
tone_and_persona,tone_and_persona=professional_formal,retrieve_tasks_by_filters,0.0938292832772104
tone_and_persona,tone_and_persona=professional_formal,retrieve_activity,0.0889044217087614
tone_and_persona,tone_and_persona=professional_formal,trigger=automation,0.0865090062553724
tone_and_persona,tone_and_persona=casual_friendly,edit_image,0.0860583194240816
tone_and_persona,tone_and_persona=professional_formal,load_custom_fields,0.0836493831279486
tone_and_persona,tone_and_persona=casual_friendly,trigger=introduction,0.0816826095106618
tone_and_persona,tone_and_persona=professional_formal,post_task_comment,0.0813075523381826
tone_and_persona,tone_and_persona=casual_friendly,todo_write,-0.1289908575163239
tone_and_persona,tone_and_persona=casual_friendly,load_assets,-0.1206331265474571
tone_and_persona,tone_and_persona=professional_formal,post_reply,-0.1038287506306704
tone_and_persona,tone_and_persona=casual_friendly,load_custom_fields,-0.0843749529293736
tone_and_persona,tone_and_persona=professional_formal,trigger=introduction,-0.078162394285489
tone_and_persona,tone_and_persona=casual_friendly,retrieve_tasks_by_filters,-0.0770355351741535
tone_and_persona,tone_and_persona=casual_friendly,trigger=automation,-0.0739324492617093
tone_and_persona,tone_and_persona=casual_friendly,search_workspace,-0.0703484191308184
tone_and_persona,tone_and_persona=professional_formal,generate_image,-0.0699703045789211
tone_and_persona,tone_and_persona=casual_friendly,post_task_comment,-0.0693493116235689
execution_dataset,execution_dataset=collection_scoped,retrieve_tasks_by_filters,0.3808582771293606
execution_dataset,execution_dataset=collection_scoped,trigger=scheduled,0.3754320238934125
execution_dataset,execution_dataset=collection_scoped,todo_write,0.3710872491890586
execution_dataset,execution_dataset=single_user_prompt,post_reply,0.2757042781003219
execution_dataset,execution_dataset=collection_unbounded,trigger=scheduled,0.2638804840109119
execution_dataset,execution_dataset=single_event_data,trigger=automation,0.2465594953472376
execution_dataset,execution_dataset=collection_unbounded,todo_write,0.2426997913105877
execution_dataset,execution_dataset=collection_scoped,read_memory,0.2169237909376077
execution_dataset,execution_dataset=collection_scoped,retrieve_activity,0.2160445395561655
execution_dataset,execution_dataset=collection_unbounded,retrieve_tasks_by_filters,0.2127068583035872
execution_dataset,execution_dataset=single_user_prompt,todo_write,-0.3304475681761691
execution_dataset,execution_dataset=collection_scoped,post_reply,-0.2699433437395629
execution_dataset,execution_dataset=single_user_prompt,retrieve_tasks_by_filters,-0.2572792716337788
execution_dataset,execution_dataset=single_user_prompt,trigger=scheduled,-0.2428652658374055
execution_dataset,execution_dataset=single_event_data,trigger=scheduled,-0.2174020197464904
execution_dataset,execution_dataset=single_asset_from_user,todo_write,-0.198209046753586
execution_dataset,execution_dataset=collection_scoped,trigger=introduction,-0.1826075286795289
execution_dataset,execution_dataset=single_user_prompt,load_assets,-0.1811633783624214
execution_dataset,execution_dataset=single_event_data,retrieve_tasks_by_filters,-0.1752723154694311
execution_dataset,execution_dataset=single_asset_from_user,trigger=scheduled,-0.1622536900576346
state_persistence,state_persistence=state_accumulating,update_document,0.2288209961858822
state_persistence,state_persistence=state_accumulating,create_document_page,0.1902533134002646
state_persistence,state_persistence=state_accumulating,search_workspace,0.1642584864665018
state_persistence,state_persistence=state_accumulating,create_document,0.1422854054844073
state_persistence,state_persistence=state_accumulating,read_memory,0.1219701340085445
state_persistence,state_persistence=state_accumulating,load_assets,0.1034462366991011
state_persistence,state_persistence=state_accumulating,todo_write,0.097140150255854
state_persistence,state_persistence=state_accumulating,trigger=scheduled,0.0741097802877428
state_persistence,state_persistence=state_accumulating,write_memory,0.0608996141174706
state_persistence,state_persistence=state_referencing,read_memory,0.0607432994321388
state_persistence,state_persistence=unknown,update_document,-0.1765656594095716
state_persistence,state_persistence=unknown,create_document_page,-0.143020365136631
state_persistence,state_persistence=unknown,read_memory,-0.1376744833078993
state_persistence,state_persistence=unknown,search_workspace,-0.1336476115664599
state_persistence,state_persistence=unknown,create_document,-0.1035248628293723
state_persistence,state_persistence=unknown,write_memory,-0.0709987207043676
state_persistence,state_persistence=unknown,trigger=scheduled,-0.0659452399780041
state_persistence,state_persistence=unknown,load_assets,-0.0657529219174996
state_persistence,state_persistence=unknown,search_public_web,-0.0622871132258912
state_persistence,state_persistence=unknown,todo_write,-0.0612381971151627
external_integration_scope,external_integration_scope=calendar_integration,search_google_calendar,0.4630182280130777
external_integration_scope,external_integration_scope=web_research_integration,search_public_web,0.376822508204344
external_integration_scope,external_integration_scope=web_research_integration,load_web_pages,0.3531680922215317
external_integration_scope,external_integration_scope=unknown,post_slack_message,0.3045084641400691
external_integration_scope,external_integration_scope=calendar_integration,create_google_calendar_event,0.2701290565590349
external_integration_scope,external_integration_scope=email_integration,gmail_create_draft,0.2216690618977834
external_integration_scope,external_integration_scope=multiple_external_systems,search_google_calendar,0.2169644939390677
external_integration_scope,external_integration_scope=email_integration,view_tools_catalog,0.2127971880978874
external_integration_scope,external_integration_scope=calendar_integration,check_calendar_availability,0.1705849962840715
external_integration_scope,external_integration_scope=calendar_integration,update_google_calendar_event,0.1472177917475218
external_integration_scope,external_integration_scope=clickup_only,search_public_web,-0.3061731246643356
external_integration_scope,external_integration_scope=clickup_only,load_web_pages,-0.2818594905049466
external_integration_scope,external_integration_scope=clickup_only,search_google_calendar,-0.2328112620944598
external_integration_scope,external_integration_scope=clickup_only,view_tools_catalog,-0.1803901671755735
external_integration_scope,external_integration_scope=clickup_only,gmail_create_draft,-0.1110843652012245
external_integration_scope,external_integration_scope=web_research_integration,retrieve_tasks_by_filters,-0.1051471855207491
external_integration_scope,external_integration_scope=clickup_only,create_google_calendar_event,-0.1043443525714422
external_integration_scope,external_integration_scope=clickup_only,read_memory,-0.0939674003748324
external_integration_scope,external_integration_scope=clickup_only,todo_write,-0.0882206430839078
external_integration_scope,external_integration_scope=clickup_only,search_workspace,-0.0826100720956545
output_modality,output_modality=structured_document,create_document,0.3597755341722456
output_modality,output_modality=structured_document,create_document_page,0.2903387367794123
output_modality,output_modality=visual_image,generate_image,0.2838265867584705
output_modality,output_modality=email_external_message,gmail_create_draft,0.2724330160650698
output_modality,output_modality=visual_image,edit_image,0.2647114664112175
output_modality,output_modality=task_artifact,create_task,0.2503882175182956
output_modality,output_modality=email_external_message,view_tools_catalog,0.2310993681976483
output_modality,output_modality=messages,post_chat_message,0.2272078415230181
output_modality,output_modality=messages,retrieve_tasks_by_filters,0.2160562083169797
output_modality,output_modality=structured_document,update_document,0.2140597046890109
output_modality,output_modality=visual_image,todo_write,-0.2618358964314541
output_modality,output_modality=visual_image,retrieve_tasks_by_filters,-0.1908641102292867
output_modality,output_modality=visual_image,trigger=scheduled,-0.1713423020956472
output_modality,output_modality=messages,create_document,-0.1590829524161029
output_modality,output_modality=visual_image,load_assets,-0.1586010543283284
output_modality,output_modality=messages,post_reply,-0.1519608467601382
output_modality,output_modality=messages,generate_image,-0.1348722971613855
output_modality,output_modality=messages,create_document_page,-0.1269584062734023
output_modality,output_modality=visual_image,search_workspace,-0.1263173449780908
output_modality,output_modality=task_artifact,post_chat_message,-0.1127517242471223
domain_industry_vertical,domain_industry_vertical=project_management_ops,todo_write,0.2780934263512685
domain_industry_vertical,domain_industry_vertical=creative_design,edit_image,0.2576036987293836
domain_industry_vertical,domain_industry_vertical=project_management_ops,retrieve_tasks_by_filters,0.2571667196018619
domain_industry_vertical,domain_industry_vertical=personal_productivity,retrieve_personal_priorities,0.2187466089661603
domain_industry_vertical,domain_industry_vertical=creative_design,generate_image,0.2127955001943544
domain_industry_vertical,domain_industry_vertical=project_management_ops,retrieve_activity,0.2118142185822457
domain_industry_vertical,domain_industry_vertical=project_management_ops,trigger=scheduled,0.1907750233090792
domain_industry_vertical,domain_industry_vertical=personal_productivity,search_google_calendar,0.1802393938764833
domain_industry_vertical,domain_industry_vertical=creative_design,post_reply,0.17695661566859
domain_industry_vertical,domain_industry_vertical=personal_productivity,trigger=scheduled,0.1598626829316913
domain_industry_vertical,domain_industry_vertical=creative_design,todo_write,-0.2627338887579019
domain_industry_vertical,domain_industry_vertical=project_management_ops,post_reply,-0.2259855134894792
domain_industry_vertical,domain_industry_vertical=creative_design,retrieve_tasks_by_filters,-0.192945230332586
domain_industry_vertical,domain_industry_vertical=creative_design,trigger=scheduled,-0.1661927363511175
domain_industry_vertical,domain_industry_vertical=creative_design,load_assets,-0.1541061962719186
domain_industry_vertical,domain_industry_vertical=education_academic,todo_write,-0.1475527678861688
domain_industry_vertical,domain_industry_vertical=project_management_ops,trigger=introduction,-0.138243666048999
domain_industry_vertical,domain_industry_vertical=creative_design,search_workspace,-0.1235745247253506
domain_industry_vertical,domain_industry_vertical=education_academic,retrieve_tasks_by_filters,-0.1200352044826367
domain_industry_vertical,domain_industry_vertical=project_management_ops,generate_image,-0.1163875469457175
use_case_context,use_case_context=general_productivity,retrieve_activity,0.1535582388686359
use_case_context,use_case_context=general_productivity,retrieve_tasks_by_filters,0.1428540426898193
use_case_context,use_case_context=general_productivity,retrieve_personal_priorities,0.128583451752114
use_case_context,use_case_context=general_productivity,trigger=scheduled,0.1196996264953127
use_case_context,use_case_context=general_productivity,todo_write,0.1188799897177695
use_case_context,use_case_context=general_productivity,post_chat_message,0.1161472327236221
use_case_context,use_case_context=personal_use_case,post_reply,0.1154274133926986
use_case_context,use_case_context=general_productivity,find_stale_tasks,0.101173639050517
use_case_context,use_case_context=specific_use_case,load_assets,0.1003813449772215
use_case_context,use_case_context=specific_use_case,load_custom_fields,0.0957235136144397
use_case_context,use_case_context=personal_use_case,todo_write,-0.1244941814284524
use_case_context,use_case_context=specific_use_case,retrieve_personal_priorities,-0.117722278248853
use_case_context,use_case_context=general_productivity,post_reply,-0.1067334916264188
use_case_context,use_case_context=personal_use_case,retrieve_tasks_by_filters,-0.1037220162329866
use_case_context,use_case_context=general_productivity,search_public_web,-0.0967399924969181
use_case_context,use_case_context=specific_use_case,post_chat_message,-0.0962200136660221
use_case_context,use_case_context=specific_use_case,trigger=scheduled,-0.0906926781927927
use_case_context,use_case_context=personal_use_case,retrieve_activity,-0.0863266512419744
use_case_context,use_case_context=personal_use_case,trigger=automation,-0.0852523164620715
use_case_context,use_case_context=personal_use_case,load_assets,-0.081528314799074
implied_end_date,implied_end_date=true,create_task,0.0360533305600287
implied_end_date,implied_end_date=true,create_subtask,0.0246540768487665
implied_end_date,implied_end_date=false,load_custom_fields,0.0236109101550617
implied_end_date,implied_end_date=false,retrieve_personal_priorities,0.0232759095095082
implied_end_date,implied_end_date=false,trigger=automation,0.0224275092918057
implied_end_date,implied_end_date=true,create_list,0.0198791736927941
implied_end_date,implied_end_date=false,retrieve_activity,0.0189215096054616
implied_end_date,implied_end_date=true,search_workspace,0.0187896116776037
implied_end_date,implied_end_date=unknown,template=unknown,0.0172645296420984
implied_end_date,implied_end_date=unknown,trigger=unknown,0.0172645296420984
implied_end_date,implied_end_date=false,create_task,-0.0341053089606067
implied_end_date,implied_end_date=false,create_subtask,-0.0234129538695896
implied_end_date,implied_end_date=true,retrieve_personal_priorities,-0.0228171708050456
implied_end_date,implied_end_date=true,load_custom_fields,-0.022704503152666
implied_end_date,implied_end_date=true,trigger=automation,-0.0212293662503758
implied_end_date,implied_end_date=false,create_list,-0.0189444604518496
implied_end_date,implied_end_date=unknown,todo_write,-0.0176037996024558
implied_end_date,implied_end_date=true,retrieve_activity,-0.0175842279116117
implied_end_date,implied_end_date=unknown,template=custom,-0.0172645296420984
implied_end_date,implied_end_date=false,search_workspace,-0.0171451173393374
